name,address,zip_code,city,phone,website,denomination
Provo Utah Rock Canyon Temple,2200 Temple Hill Drive,84604,Provo,+18013755775,https://www.churchofjesuschrist.org/temples/details/provo-utah-rock-canyon-temple,lds
Springville Community Presbyterian Church,245 South 200 East Street,84663,Springville,+1 801-489-4390,https://www.springvillechurch.org/,presbyterian
Saint Francis of Assisi Catholic Church,65 East 500 North,84097,Orem,+1 801-221-0750,https://www.oremstfrancis.org/,roman_catholic
San Andres Catholic Church,315 300 East,84651,Payson,+1 801-465-4782,https://www.dioslc.org,roman_catholic
Saint Peter Catholic Church,634 Caveman Boulevard,84003,American Fork,+1 801-756-7771,https://www.dioslc.org/,roman_catholic
Mount Timpanogos Utah Temple,742 North 900 East,84003,American Fork,,https://www.churchofjesuschrist.org/temples/details/mount-timpanogos-utah-temple,lds
Provo City Center Temple,50 South University Avenue,84601,Provo,,https://www.churchofjesuschrist.org/temples/details/provo-city-center-temple,lds
San Isidro Catholic Mission,12972 15200 South,84626,Elberta,+1 801-465-4782,https://www.dioslc.org,roman_catholic
The Church of Jesus Christ of Latter-day Saints,1998 West 900 North,84043,Lehi,+18018993768,https://local.churchofjesuschrist.org/en/us/ut/lehi/1998-west-900-north?y_source=1_NjcwODMzODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,lds
Saratoga Springs Utah Temple,987 South Ensign Drive,84045,Saratoga Springs,,https://www.churchofjesuschrist.org/temples/details/saratoga-springs-utah-temple,lds
American Fork Presbyterian Church,75 100 East,84003,American Fork,+1 385-219-7096,https://www.americanforkpres.org,presbyterian
The Church of Jesus Christ of Latter-day Saints,2261 West 1500 North,84043,Lehi,+18018993768,https://local.churchofjesuschrist.org/en/us/ut/lehi/2261-west-1500-north?utm_source=gmb&utm_medium=yext&y_source=1_NjcwOTA4NzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,lds
The Church of Jesus Christ of Latter-day Saints,Canyon Road,84664,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,East Center Street,84663,Springville,,,lds
The Church of Jesus Christ of Latter-day Saints,890 West 3070 North,84043,Lehi,+1 801-768-1620,,lds
The Church of Jesus Christ of Latter-day Saints,200 West,84058,Orem,,https://www.churchofjesuschrist.org/,lds
The Church of Jesus Christ of Latter-day Saints,2188 East 100 South,84660,Spanish Fork,,https://www.lds.org,lds
The Church of Jesus Christ of Latter-day Saints,165 North 100 East,84004,Alpine,,,lds
The Church of Jesus Christ of Latter-day Saints,1455 East Canyon Road,85203,Spanish Fork,,https://www.churchofjesuschrist.org/,lds
Provo Bible Church,1449 West 1150 South,84601,Provo,+1 801 373 8272,,protestant
The Church of Jesus Christ of Latter-day Saints,South 1100 West,84045,Lehi,,https://www.churchofjesuschrist.org,lds
The Church of Jesus Christ of Latter-day Saints,South 1100 West,84045,Lehi,,https://www.churchofjesuschrist.org,lds
The Church of Jesus Christ of Latter-day Saints,North Saratoga Road,84045,Saratoga Springs,,https://www.churchofjesuschrist.org,lds
Lindon Utah Temple,East Center Street,84042,Lindon,,https://www.churchofjesuschrist.org/temples/details/lindon-utah-temple,lds
The Church of Jesus Christ of Latter-day Saints,710 South 800 East,84097,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,West 1250 South,84058,Orem,,,lds
The Church of Jesus Christ of Latter-day Saints,1122 Grand Avenue,84604,Provo,,,lds
